Date,aer,knc,dps,tik,anof
30.01.2024 06:40:00,1.00600000000000,-0.686000000000000,-1.05300000000000,0.650000000000000,-0.212000000000000
30.01.2024 06:50:00,0.689000000000000,-0.505000000000000,-1.13300000000000,0.768000000000000,-0.139000000000000
30.01.2024 07:00:00,0.848000000000000,-0.541000000000000,-1.26400000000000,-0.0230000000000000,-0.793000000000000
30.01.2024 07:10:00,0.449000000000000,-0.906000000000000,-1.24700000000000,0.221000000000000,-0.594000000000000
30.01.2024 07:20:00,0.653000000000000,-0.606000000000000,-1.33900000000000,0.354000000000000,-0.931000000000000
30.01.2024 07:30:00,0.344000000000000,-1.01900000000000,-1.35300000000000,-0.469000000000000,-1.13400000000000
30.01.2024 07:40:00,0.508000000000000,-0.727000000000000,-1.66600000000000,-0.341000000000000,-1.33000000000000
30.01.2024 07:50:00,0.358000000000000,-1.19000000000000,-1.58700000000000,-0.390000000000000,-1.17400000000000
30.01.2024 08:00:00,-0.0540000000000000,-1.64000000000000,-1.67900000000000,-0.0290000000000000,-1.48500000000000
30.01.2024 08:10:00,0.141000000000000,-1.47900000000000,-1.82400000000000,-0.825000000000000,-1.31200000000000
30.01.2024 08:20:00,-0.270000000000000,-1.85300000000000,-2.13400000000000,-0.751000000000000,-1.28400000000000
30.01.2024 08:30:00,-0.488000000000000,-1.96200000000000,-2.01800000000000,-0.635000000000000,-1.68700000000000
30.01.2024 08:40:00,-0.523000000000000,-1.65700000000000,-2.12800000000000,-0.998000000000000,-2.16500000000000
30.01.2024 08:50:00,-0.882000000000000,-2.20600000000000,-2.65400000000000,0.430000000000000,-2.06500000000000
30.01.2024 09:00:00,-0.973000000000000,-2.38400000000000,-2.86000000000000,0.246000000000000,-2.14200000000000
30.01.2024 09:10:00,0.394000000000000,-2.47900000000000,-2.77200000000000,0.372000000000000,-2.80100000000000
30.01.2024 09:20:00,-0.980000000000000,-2.66500000000000,-3.21000000000000,-0.192000000000000,-2.99300000000000
30.01.2024 09:30:00,-0.640000000000000,-2.82500000000000,-3.44700000000000,-0.535000000000000,-3.31700000000000
30.01.2024 09:40:00,-0.668000000000000,-3.50800000000000,-3.64700000000000,-0.302000000000000,-3.15100000000000
30.01.2024 09:50:00,-0.635000000000000,-3.40700000000000,-3.84300000000000,-0.271000000000000,-3.46500000000000
30.01.2024 10:00:00,-1.49800000000000,-3.70800000000000,-4.14500000000000,-0.919000000000000,-3.66600000000000
30.01.2024 10:10:00,-0.676000000000000,-3.66700000000000,-4.44400000000000,-1.28500000000000,-3.58600000000000
30.01.2024 10:20:00,-2.31500000000000,-3.84300000000000,-4.46800000000000,-1.39500000000000,-4.15600000000000
30.01.2024 10:30:00,-2.58400000000000,-4.18500000000000,-4.78800000000000,-1.73400000000000,-4.50000000000000
30.01.2024 10:40:00,-1.43500000000000,-4.70100000000000,-4.88300000000000,-1.66700000000000,-4.05000000000000
30.01.2024 10:50:00,-2.46400000000000,-4.97100000000000,-5.14400000000000,-1.36600000000000,-4.27400000000000
30.01.2024 11:00:00,-2.40000000000000,-5.05900000000000,-5.26400000000000,-2.02200000000000,-4.76100000000000
30.01.2024 11:10:00,-2.69800000000000,-5.14400000000000,-5.30600000000000,-2.55600000000000,-4.77000000000000
30.01.2024 11:20:00,-2.54200000000000,-5.07000000000000,-5.55800000000000,-2.69500000000000,-4.55300000000000
30.01.2024 11:30:00,-1.87500000000000,-5.43600000000000,-5.56300000000000,-2.24900000000000,-4.87800000000000
30.01.2024 11:40:00,-1.90600000000000,-5.23900000000000,-5.52900000000000,-2.36200000000000,-4.67900000000000
30.01.2024 11:50:00,-2.18400000000000,-4.99600000000000,-5.67700000000000,-2.74900000000000,-5.13200000000000
30.01.2024 12:00:00,-3.24600000000000,-5.05500000000000,-5.51500000000000,-3.06700000000000,-4.97000000000000
30.01.2024 12:10:00,-3.38100000000000,-4.75400000000000,-5.38800000000000,-2.32300000000000,-4.70100000000000
30.01.2024 12:20:00,-2.03200000000000,-4.88700000000000,-5.47900000000000,-2.14900000000000,-5.21200000000000
30.01.2024 12:30:00,-1.56100000000000,-4.68300000000000,-5.10800000000000,-2.10200000000000,-4.95000000000000
30.01.2024 12:40:00,-1.50400000000000,-4.57500000000000,-4.89600000000000,-2.41500000000000,-4.43200000000000
30.01.2024 12:50:00,-1.80700000000000,-4.43000000000000,-4.84500000000000,-1.39800000000000,-4.49800000000000
30.01.2024 13:00:00,-1.77800000000000,-4.40800000000000,-4.49200000000000,-1.32700000000000,-4.22100000000000
30.01.2024 13:10:00,-1.74300000000000,-4.04200000000000,-4.41800000000000,-1.21900000000000,-3.85000000000000
30.01.2024 13:20:00,-1.02800000000000,-3.77400000000000,-3.86800000000000,-0.959000000000000,-3.49500000000000
30.01.2024 13:30:00,-0.950000000000000,-3.33400000000000,-3.93000000000000,-0.815000000000000,-3.20200000000000
30.01.2024 13:40:00,-0.636000000000000,-2.99300000000000,-3.49600000000000,-0.562000000000000,-2.57500000000000
30.01.2024 13:50:00,0.301000000000000,-2.79400000000000,-3.27800000000000,0.266000000000000,-2.88500000000000
30.01.2024 14:00:00,-0.127000000000000,-2.39600000000000,-2.85000000000000,0.575000000000000,-2.66400000000000
30.01.2024 14:10:00,-0.897000000000000,-2.10100000000000,-2.77700000000000,0.284000000000000,-2.13600000000000
30.01.2024 14:20:00,-0.323000000000000,-2.15700000000000,-2.40300000000000,0.856000000000000,-1.81800000000000
30.01.2024 14:30:00,-0.552000000000000,-1.50200000000000,-2.16300000000000,1.26200000000000,-1.69900000000000
30.01.2024 14:40:00,-0.0970000000000000,-1.25600000000000,-1.94600000000000,1.10000000000000,-1.12300000000000
30.01.2024 14:50:00,0.231000000000000,-1.04300000000000,-1.46100000000000,-0.342000000000000,-0.636000000000000
30.01.2024 15:00:00,0.651000000000000,-1.16700000000000,-1.27700000000000,0.201000000000000,-0.662000000000000
30.01.2024 15:10:00,0.643000000000000,-0.512000000000000,-1.25600000000000,0.470000000000000,-0.377000000000000
30.01.2024 15:20:00,0.548000000000000,-0.554000000000000,-1.26600000000000,0.592000000000000,-0.820000000000000
30.01.2024 15:30:00,0.654000000000000,-0.359000000000000,-0.813000000000000,0.411000000000000,-0.642000000000000
30.01.2024 15:40:00,1.20000000000000,-0.623000000000000,-0.909000000000000,0.272000000000000,-0.100000000000000
30.01.2024 15:50:00,1.24700000000000,-0.413000000000000,-0.757000000000000,0.630000000000000,-0.169000000000000
30.01.2024 16:00:00,1.18700000000000,0.0140000000000000,-0.779000000000000,0.691000000000000,-0.0520000000000000
30.01.2024 16:10:00,1.16300000000000,-0.124000000000000,-0.938000000000000,0.225000000000000,-0.214000000000000
30.01.2024 16:20:00,1.14900000000000,-0.681000000000000,-0.721000000000000,1.22400000000000,-0.350000000000000
30.01.2024 16:30:00,0.831000000000000,-0.141000000000000,-0.774000000000000,0.107000000000000,-0.320000000000000
30.01.2024 16:40:00,1.18200000000000,-0.557000000000000,-0.838000000000000,0.528000000000000,-0.392000000000000
30.01.2024 16:50:00,0.795000000000000,-0.0520000000000000,-0.817000000000000,-0.0640000000000000,0.0760000000000000
30.01.2024 17:00:00,0.808000000000000,-0.411000000000000,-0.910000000000000,0.196000000000000,-0.0360000000000000
30.01.2024 17:10:00,1.03300000000000,-0.693000000000000,-0.975000000000000,0.306000000000000,-0.287000000000000
30.01.2024 17:20:00,0.928000000000000,-0.621000000000000,-1.06900000000000,0.0310000000000000,-0.533000000000000
30.01.2024 17:30:00,0.934000000000000,-0.865000000000000,-1.13300000000000,0.836000000000000,-0.493000000000000
30.01.2024 17:40:00,0.532000000000000,-0.568000000000000,-1.14600000000000,0.902000000000000,-0.826000000000000
30.01.2024 17:50:00,0.796000000000000,-1.07200000000000,-1.08900000000000,0.648000000000000,-0.442000000000000
30.01.2024 18:00:00,0.435000000000000,-0.933000000000000,-1.28400000000000,-0.376000000000000,-0.957000000000000
30.01.2024 18:10:00,0.151000000000000,-1.24700000000000,-1.25700000000000,0.170000000000000,-1.05300000000000
30.01.2024 18:20:00,0.715000000000000,-1.05900000000000,-1.34500000000000,0.176000000000000,-1.17500000000000
30.01.2024 18:30:00,0.318000000000000,-1.01300000000000,-1.56500000000000,-0.0150000000000000,-0.988000000000000
30.01.2024 18:40:00,0.219000000000000,-0.802000000000000,-1.66400000000000,-0.0400000000000000,-1.00200000000000
30.01.2024 18:50:00,0.137000000000000,-1.22300000000000,-1.76800000000000,-0.374000000000000,-0.949000000000000
30.01.2024 19:00:00,0.133000000000000,-1.14400000000000,-1.60600000000000,-0.644000000000000,-0.939000000000000
30.01.2024 19:10:00,0.395000000000000,-1.22500000000000,-1.85100000000000,-0.176000000000000,-1.28100000000000
30.01.2024 19:20:00,0.334000000000000,-1.16300000000000,-1.72700000000000,-0.330000000000000,-1.57800000000000
30.01.2024 19:30:00,-0.131000000000000,-1.08500000000000,-1.89900000000000,0.315000000000000,-1.24300000000000
30.01.2024 19:40:00,0.143000000000000,-1.20000000000000,-1.74900000000000,-0.0260000000000000,-1.14600000000000
30.01.2024 19:50:00,0.183000000000000,-1.37700000000000,-2.03700000000000,-0.961000000000000,-0.970000000000000
30.01.2024 20:00:00,0.0920000000000000,-1.46900000000000,-1.94700000000000,-0.330000000000000,-1.51600000000000
30.01.2024 20:10:00,-0.0790000000000000,-1.38400000000000,-2.00100000000000,0.0220000000000000,-1.70400000000000
30.01.2024 20:20:00,0.109000000000000,-1.39800000000000,-1.97000000000000,-0.297000000000000,-1.66200000000000
30.01.2024 20:30:00,-0.254000000000000,-1.76200000000000,-2.07800000000000,-1.16500000000000,-1.78400000000000
30.01.2024 20:40:00,-0.146000000000000,-1.61400000000000,-2.03300000000000,0.0990000000000000,-1.31800000000000
30.01.2024 20:50:00,-0.0960000000000000,-1.29800000000000,-2.01400000000000,-0.746000000000000,-1.38200000000000
30.01.2024 21:00:00,-0.00300000000000000,-1.40100000000000,-1.98600000000000,-0.882000000000000,-1.72700000000000
30.01.2024 21:10:00,0.0790000000000000,-1.76800000000000,-1.91600000000000,-1.17600000000000,-1.35200000000000
30.01.2024 21:20:00,-0.266000000000000,-1.20400000000000,-2.11000000000000,-0.960000000000000,-1.60100000000000
30.01.2024 21:30:00,-0.111000000000000,-1.33100000000000,-2.03400000000000,-0.211000000000000,-1.14400000000000
30.01.2024 21:40:00,0.0580000000000000,-1.49400000000000,-1.94400000000000,-1.21500000000000,-1.68000000000000
30.01.2024 21:50:00,0.183000000000000,-1.61500000000000,-2.13600000000000,-0.504000000000000,-1.24700000000000
30.01.2024 22:00:00,-0.107000000000000,-1.40700000000000,-2.13700000000000,0.0880000000000000,-1.63800000000000
30.01.2024 22:10:00,0.0200000000000000,-1.85100000000000,-1.87600000000000,-0.324000000000000,-1.57400000000000
30.01.2024 22:20:00,-0.153000000000000,-1.37500000000000,-1.98900000000000,-1.06500000000000,-1.08800000000000
30.01.2024 22:30:00,-0.0770000000000000,-1.34900000000000,-1.98700000000000,-1.07400000000000,-1.70700000000000
30.01.2024 22:40:00,-0.307000000000000,-1.53200000000000,-1.95100000000000,-0.546000000000000,-1.51200000000000
30.01.2024 22:50:00,-0.173000000000000,-1.68900000000000,-1.94600000000000,-0.549000000000000,-1.79100000000000
30.01.2024 23:00:00,-0.120000000000000,-1.37100000000000,-2.20200000000000,-0.638000000000000,-1.26300000000000
30.01.2024 23:10:00,-0.315000000000000,-1.35700000000000,-1.92600000000000,-1.22500000000000,-1.42200000000000
30.01.2024 23:20:00,-0.497000000000000,-1.45000000000000,-2.10700000000000,0.175000000000000,-1.80100000000000
30.01.2024 23:30:00,-0.424000000000000,-1.56400000000000,-1.91400000000000,-0.218000000000000,-1.75800000000000
30.01.2024 23:40:00,-0.292000000000000,-1.44300000000000,-2.23300000000000,-0.410000000000000,-1.20500000000000
30.01.2024 23:50:00,-0.265000000000000,-1.52900000000000,-2.12300000000000,-0.0920000000000000,-1.45600000000000
31.01.2024 00:00:00,-0.275000000000000,-1.83200000000000,-2.20400000000000,-1.22500000000000,-1.78000000000000
31.01.2024 00:10:00,-0.306000000000000,-2.02300000000000,-2.28900000000000,-1.31600000000000,-1.69900000000000
31.01.2024 00:20:00,-0.956000000000000,-1.95500000000000,-2.40300000000000,-1.21100000000000,-1.86100000000000
31.01.2024 00:30:00,-0.934000000000000,-2.19700000000000,-2.61100000000000,-0.947000000000000,-1.64800000000000
31.01.2024 00:40:00,-0.961000000000000,-2.19400000000000,-2.70900000000000,-1.59200000000000,-1.73600000000000
31.01.2024 00:50:00,-0.845000000000000,-2.49600000000000,-2.69600000000000,-0.794000000000000,-2.22400000000000
31.01.2024 01:00:00,-1.26000000000000,-2.31600000000000,-2.94900000000000,-1.46000000000000,-1.97700000000000
31.01.2024 01:10:00,-1.35200000000000,-2.76100000000000,-3.06600000000000,-0.968000000000000,-2.69800000000000
31.01.2024 01:20:00,-1.36600000000000,-2.59900000000000,-3.13600000000000,-1.90000000000000,-2.38100000000000
31.01.2024 01:30:00,-1.47100000000000,-2.57500000000000,-3.58400000000000,-1.12100000000000,-2.45000000000000
31.01.2024 01:40:00,-1.53400000000000,-3.24200000000000,-3.34100000000000,-1.67000000000000,-3.33500000000000
31.01.2024 01:50:00,-1.56300000000000,-3.15900000000000,-3.58400000000000,-2.41500000000000,-2.92200000000000
31.01.2024 02:00:00,-1.69300000000000,-3.59700000000000,-3.91400000000000,-2.60300000000000,-3.62900000000000
31.01.2024 02:10:00,-1.88400000000000,-3.43500000000000,-4.00300000000000,-2.01700000000000,-3.52400000000000
31.01.2024 02:20:00,-2.48500000000000,-4.02800000000000,-4.08100000000000,-2.28800000000000,-3.47300000000000
31.01.2024 02:30:00,-2.59200000000000,-3.91300000000000,-4.24500000000000,-2.18500000000000,-3.65400000000000
31.01.2024 02:40:00,-2.33000000000000,-4.01900000000000,-4.45100000000000,-2.56100000000000,-3.77500000000000
31.01.2024 02:50:00,-2.72100000000000,-4.09200000000000,-4.40000000000000,-3.53300000000000,-3.78400000000000
31.01.2024 03:00:00,-2.62400000000000,-4.26200000000000,-4.47600000000000,-3.00900000000000,-3.69900000000000
31.01.2024 03:10:00,-3.24500000000000,-4.10900000000000,-4.86500000000000,-3.07800000000000,-4.49100000000000
31.01.2024 03:20:00,-2.93800000000000,-4.60600000000000,-4.85300000000000,-3.87100000000000,-4.03400000000000
31.01.2024 03:30:00,-3.06900000000000,-4.14900000000000,-4.88400000000000,-4.07000000000000,-4.16000000000000
31.01.2024 03:40:00,-2.88000000000000,-4.70500000000000,-4.88000000000000,-3.39300000000000,-4.75600000000000
31.01.2024 03:50:00,-3.28200000000000,-4.66400000000000,-5.16100000000000,-3.40200000000000,-4.33300000000000
31.01.2024 04:00:00,-3.25400000000000,-4.72000000000000,-5.32800000000000,-3.39000000000000,-4.96300000000000
31.01.2024 04:10:00,-3.62100000000000,-4.96100000000000,-5.31900000000000,-3.71000000000000,-4.79200000000000
31.01.2024 04:20:00,-3.35900000000000,-4.88800000000000,-5.33200000000000,-3.45300000000000,-4.56500000000000
31.01.2024 04:30:00,-3.79700000000000,-4.85700000000000,-5.41000000000000,-4.56900000000000,-4.61100000000000
31.01.2024 04:40:00,-3.37700000000000,-5.00300000000000,-5.26600000000000,-3.57900000000000,-5.26100000000000
31.01.2024 04:50:00,-3.28600000000000,-5.08100000000000,-5.61700000000000,-4.46900000000000,-5.06000000000000
31.01.2024 05:00:00,-3.73800000000000,-5.16600000000000,-5.60900000000000,-4.35300000000000,-5.30900000000000
31.01.2024 05:10:00,-3.65200000000000,-5.18100000000000,-5.46400000000000,-3.96100000000000,-5.18300000000000
31.01.2024 05:20:00,-3.54500000000000,-4.97700000000000,-5.56100000000000,-3.47600000000000,-5.35800000000000
31.01.2024 05:30:00,-3.69700000000000,-5.40100000000000,-5.67000000000000,-3.75000000000000,-4.95800000000000
31.01.2024 05:40:00,-3.48500000000000,-5.16700000000000,-5.48200000000000,-3.98400000000000,-5.04100000000000
31.01.2024 05:50:00,-3.59700000000000,-4.84300000000000,-5.45600000000000,-3.47900000000000,-4.73900000000000
31.01.2024 06:00:00,-3.86700000000000,-5.01800000000000,-5.24600000000000,-3.59400000000000,-5.20500000000000
31.01.2024 06:10:00,-3.80400000000000,-4.82900000000000,-5.38700000000000,-3.91700000000000,-4.85800000000000
31.01.2024 06:20:00,-3.11800000000000,-4.78500000000000,-5.36800000000000,-4.52900000000000,-5.06600000000000
31.01.2024 06:30:00,-3.69800000000000,-4.83500000000000,-5.29300000000000,-4.51100000000000,-4.56400000000000
31.01.2024 06:40:00,-3.55800000000000,-5.03000000000000,-5.32200000000000,-3.54600000000000,-4.52800000000000
31.01.2024 06:50:00,-3.51300000000000,-5.01300000000000,-5.22500000000000,-3.73900000000000,-4.38800000000000
31.01.2024 07:00:00,-3.17000000000000,-5.04900000000000,-5.19300000000000,-3.31400000000000,-4.79600000000000
31.01.2024 07:10:00,-3.27200000000000,-4.72000000000000,-5.05100000000000,-4.10000000000000,-4.60500000000000
31.01.2024 07:20:00,-3.44400000000000,-4.91900000000000,-5.08700000000000,-3.75700000000000,-4.24900000000000
31.01.2024 07:30:00,-3.28900000000000,-4.55500000000000,-4.98800000000000,-3.76300000000000,-4.18000000000000
31.01.2024 07:40:00,-3.36800000000000,-4.61100000000000,-5.09300000000000,-3.80600000000000,-4.17100000000000
31.01.2024 07:50:00,-2.73500000000000,-4.48800000000000,-4.80100000000000,-3.76600000000000,-4.01800000000000
31.01.2024 08:00:00,-2.89300000000000,-4.31400000000000,-4.73900000000000,-2.73200000000000,-4.43700000000000
31.01.2024 08:10:00,-3.16700000000000,-3.87900000000000,-4.71700000000000,-3.17000000000000,-4.02200000000000
31.01.2024 08:20:00,-3.06700000000000,-4.35700000000000,-4.82200000000000,-3.39300000000000,-3.83700000000000
31.01.2024 08:30:00,-2.72200000000000,-3.96400000000000,-4.76900000000000,-2.66300000000000,-4.13200000000000
31.01.2024 08:40:00,-2.41200000000000,-3.94800000000000,-4.81900000000000,-3.03800000000000,-3.78800000000000
31.01.2024 08:50:00,-3.01900000000000,-3.99800000000000,-4.54400000000000,-3.48900000000000,-4.45300000000000
31.01.2024 09:00:00,-2.85600000000000,-4.19000000000000,-4.57500000000000,-3.77600000000000,-4.08400000000000
31.01.2024 09:10:00,-2.76600000000000,-4.36900000000000,-4.66700000000000,-3.39700000000000,-3.77900000000000
31.01.2024 09:20:00,-2.94000000000000,-4.10100000000000,-4.62500000000000,-3.46000000000000,-4.21500000000000
31.01.2024 09:30:00,-2.88700000000000,-4.15300000000000,-4.66600000000000,-3.43100000000000,-4.05300000000000
31.01.2024 09:40:00,-3.19900000000000,-4.15700000000000,-4.68200000000000,-2.77600000000000,-4.38900000000000
31.01.2024 09:50:00,-3.00100000000000,-3.93300000000000,-4.86600000000000,-3.26900000000000,-4.67000000000000
31.01.2024 10:00:00,-2.79900000000000,-4.46300000000000,-4.84200000000000,-3.97900000000000,-4.28200000000000
31.01.2024 10:10:00,-2.93300000000000,-4.51400000000000,-4.81200000000000,-4.03500000000000,-4.35500000000000
31.01.2024 10:20:00,-3.16900000000000,-4.43200000000000,-4.77300000000000,-3.68000000000000,-4.39000000000000
31.01.2024 10:30:00,-3.37300000000000,-4.33700000000000,-4.95900000000000,-3.05100000000000,-4.15300000000000
31.01.2024 10:40:00,-3.33600000000000,-4.84600000000000,-5.29300000000000,-3.08800000000000,-4.65800000000000
31.01.2024 10:50:00,-3.20000000000000,-4.64500000000000,-5.10400000000000,-3.96300000000000,-4.30100000000000
31.01.2024 11:00:00,-3.40000000000000,-4.98100000000000,-5.13700000000000,-3.12200000000000,-4.44100000000000
31.01.2024 11:10:00,-3.77900000000000,-4.55800000000000,-5.34900000000000,-3.60900000000000,-5.04600000000000
31.01.2024 11:20:00,-3.59300000000000,-4.45200000000000,-5.23500000000000,-3.36700000000000,-4.93300000000000
31.01.2024 11:30:00,-3.74400000000000,-5.11100000000000,-5.35100000000000,-4.21000000000000,-4.56700000000000
31.01.2024 11:40:00,-3.47800000000000,-4.82800000000000,-5.49600000000000,-3.41700000000000,-5.28000000000000
31.01.2024 11:50:00,-3.83100000000000,-4.92800000000000,-5.38900000000000,-3.74700000000000,-5.00400000000000
31.01.2024 12:00:00,-3.37800000000000,-5.33400000000000,-5.73800000000000,-4.80200000000000,-5.18300000000000
31.01.2024 12:10:00,-3.75500000000000,-5.22300000000000,-5.73700000000000,-4.21400000000000,-5.36200000000000
31.01.2024 12:20:00,-3.55300000000000,-5.23300000000000,-5.53200000000000,-4.75100000000000,
31.01.2024 12:30:00,-4.05900000000000,-5.00800000000000,-5.60000000000000,-3.61800000000000,
31.01.2024 12:40:00,-3.94500000000000,-5.06400000000000,-5.65800000000000,-4.69900000000000,
31.01.2024 12:50:00,-3.92400000000000,-5.57400000000000,-5.72800000000000,-3.81800000000000,
31.01.2024 13:00:00,-3.88800000000000,,-5.46600000000000,-4.00200000000000,
31.01.2024 13:10:00,-3.86100000000000,,-5.56500000000000,,
31.01.2024 13:20:00,-4.07800000000000,,-5.48500000000000,,
31.01.2024 13:30:00,-3.53300000000000,,-5.65900000000000,,
31.01.2024 13:40:00,,,-5.53200000000000,,
31.01.2024 13:50:00,,,-5.25800000000000,,